n_ensayo,suma,n,value,peso
632,36,8,0.0447,1.6092
2916,36,8,0.0447,1.6092
3052,36,8,0.0447,1.6092
3485,36,8,0.0447,1.6092
7257,36,8,0.0447,1.6092
8429,36,8,0.0447,1.6092
7842,47,10,0.0338,1.5885999999999998
8599,47,10,0.0338,1.5885999999999998
51,17,4,0.0934,1.5877999999999999
1705,17,4,0.0934,1.5877999999999999
1915,17,4,0.0934,1.5877999999999999
2191,17,4,0.0934,1.5877999999999999
2704,17,4,0.0934,1.5877999999999999
3789,17,4,0.0934,1.5877999999999999
4047,17,4,0.0934,1.5877999999999999
4088,17,4,0.0934,1.5877999999999999
4354,17,4,0.0934,1.5877999999999999
5005,17,4,0.0934,1.5877999999999999
5659,17,4,0.0934,1.5877999999999999
6585,17,4,0.0934,1.5877999999999999
6910,17,4,0.0934,1.5877999999999999
6989,17,4,0.0934,1.5877999999999999
7005,17,4,0.0934,1.5877999999999999
7394,17,4,0.0934,1.5877999999999999
7870,17,4,0.0934,1.5877999999999999
8058,17,4,0.0934,1.5877999999999999
8188,17,4,0.0934,1.5877999999999999
8364,17,4,0.0934,1.5877999999999999
8867,17,4,0.0934,1.5877999999999999
9105,17,4,0.0934,1.5877999999999999
9315,17,4,0.0934,1.5877999999999999
9857,17,4,0.0934,1.5877999999999999
52,23,6,0.0687,1.5800999999999998
90,23,6,0.0687,1.5800999999999998
167,23,6,0.0687,1.5800999999999998
354,23,6,0.0687,1.5800999999999998
357,23,6,0.0687,1.5800999999999998
778,23,6,0.0687,1.5800999999999998
1188,23,6,0.0687,1.5800999999999998
1208,23,6,0.0687,1.5800999999999998
1485,23,6,0.0687,1.5800999999999998
1710,23,6,0.0687,1.5800999999999998
1899,23,6,0.0687,1.5800999999999998
2929,23,6,0.0687,1.5800999999999998
3323,23,6,0.0687,1.5800999999999998
3336,23,6,0.0687,1.5800999999999998
3528,23,6,0.0687,1.5800999999999998
3869,23,6,0.0687,1.5800999999999998
3901,23,6,0.0687,1.5800999999999998
4103,23,6,0.0687,1.5800999999999998
4241,23,6,0.0687,1.5800999999999998
4484,23,6,0.0687,1.5800999999999998
4546,23,6,0.0687,1.5800999999999998
5391,23,6,0.0687,1.5800999999999998
5401,23,6,0.0687,1.5800999999999998
5569,23,6,0.0687,1.5800999999999998
5604,23,6,0.0687,1.5800999999999998
5882,23,6,0.0687,1.5800999999999998
5888,23,6,0.0687,1.5800999999999998
5937,23,6,0.0687,1.5800999999999998
6051,23,6,0.0687,1.5800999999999998
6191,23,6,0.0687,1.5800999999999998
6619,23,6,0.0687,1.5800999999999998
6887,23,6,0.0687,1.5800999999999998
7016,23,6,0.0687,1.5800999999999998
7508,23,6,0.0687,1.5800999999999998
7752,23,6,0.0687,1.5800999999999998
8035,23,6,0.0687,1.5800999999999998
8248,23,6,0.0687,1.5800999999999998
8307,23,6,0.0687,1.5800999999999998
8339,23,6,0.0687,1.5800999999999998
8399,23,6,0.0687,1.5800999999999998
8702,23,6,0.0687,1.5800999999999998
8807,23,6,0.0687,1.5800999999999998
8851,23,6,0.0687,1.5800999999999998
9200,23,6,0.0687,1.5800999999999998
9546,23,6,0.0687,1.5800999999999998
9646,23,6,0.0687,1.5800999999999998
9789,23,6,0.0687,1.5800999999999998
9957,23,6,0.0687,1.5800999999999998
230,19,5,0.0825,1.5675000000000001
601,19,5,0.0825,1.5675000000000001
768,19,5,0.0825,1.5675000000000001
798,19,5,0.0825,1.5675000000000001
889,19,5,0.0825,1.5675000000000001
1013,19,5,0.0825,1.5675000000000001
1069,19,5,0.0825,1.5675000000000001
1169,19,5,0.0825,1.5675000000000001
1258,19,5,0.0825,1.5675000000000001
1458,19,5,0.0825,1.5675000000000001
1509,19,5,0.0825,1.5675000000000001
1562,19,5,0.0825,1.5675000000000001
1566,19,5,0.0825,1.5675000000000001
1732,19,5,0.0825,1.5675000000000001
2256,19,5,0.0825,1.5675000000000001
2374,19,5,0.0825,1.5675000000000001
2401,19,5,0.0825,1.5675000000000001
2564,19,5,0.0825,1.5675000000000001
2567,19,5,0.0825,1.5675000000000001
2841,19,5,0.0825,1.5675000000000001
3279,19,5,0.0825,1.5675000000000001
3322,19,5,0.0825,1.5675000000000001
3448,19,5,0.0825,1.5675000000000001
3578,19,5,0.0825,1.5675000000000001
3583,19,5,0.0825,1.5675000000000001
3776,19,5,0.0825,1.5675000000000001
3943,19,5,0.0825,1.5675000000000001
4151,19,5,0.0825,1.5675000000000001
4179,19,5,0.0825,1.5675000000000001
4526,19,5,0.0825,1.5675000000000001
4624,19,5,0.0825,1.5675000000000001
4792,19,5,0.0825,1.5675000000000001
4813,19,5,0.0825,1.5675000000000001
4899,19,5,0.0825,1.5675000000000001
5327,19,5,0.0825,1.5675000000000001
5347,19,5,0.0825,1.5675000000000001
5364,19,5,0.0825,1.5675000000000001
5398,19,5,0.0825,1.5675000000000001
5500,19,5,0.0825,1.5675000000000001
5526,19,5,0.0825,1.5675000000000001
5748,19,5,0.0825,1.5675000000000001
5808,19,5,0.0825,1.5675000000000001
5898,19,5,0.0825,1.5675000000000001
6040,19,5,0.0825,1.5675000000000001
6062,19,5,0.0825,1.5675000000000001
6115,19,5,0.0825,1.5675000000000001
6217,19,5,0.0825,1.5675000000000001
6318,19,5,0.0825,1.5675000000000001
6354,19,5,0.0825,1.5675000000000001
6767,19,5,0.0825,1.5675000000000001
6839,19,5,0.0825,1.5675000000000001
6893,19,5,0.0825,1.5675000000000001
7053,19,5,0.0825,1.5675000000000001
7070,19,5,0.0825,1.5675000000000001
7096,19,5,0.0825,1.5675000000000001
7127,19,5,0.0825,1.5675000000000001
7174,19,5,0.0825,1.5675000000000001
7202,19,5,0.0825,1.5675000000000001
7325,19,5,0.0825,1.5675000000000001
7365,19,5,0.0825,1.5675000000000001
7465,19,5,0.0825,1.5675000000000001
7493,19,5,0.0825,1.5675000000000001
7516,19,5,0.0825,1.5675000000000001
7517,19,5,0.0825,1.5675000000000001
7605,19,5,0.0825,1.5675000000000001
7627,19,5,0.0825,1.5675000000000001
7728,19,5,0.0825,1.5675000000000001
7811,19,5,0.0825,1.5675000000000001
8002,19,5,0.0825,1.5675000000000001
8021,19,5,0.0825,1.5675000000000001
8091,19,5,0.0825,1.5675000000000001
8133,19,5,0.0825,1.5675000000000001
8720,19,5,0.0825,1.5675000000000001
8895,19,5,0.0825,1.5675000000000001
9191,19,5,0.0825,1.5675000000000001
9499,19,5,0.0825,1.5675000000000001
9605,19,5,0.0825,1.5675000000000001
9706,19,5,0.0825,1.5675000000000001
9753,19,5,0.0825,1.5675000000000001
9777,19,5,0.0825,1.5675000000000001
9825,19,5,0.0825,1.5675000000000001
9894,19,5,0.0825,1.5675000000000001
469,29,7,0.054,1.566
471,29,7,0.054,1.566
665,29,7,0.054,1.566
1942,29,7,0.054,1.566
2069,29,7,0.054,1.566
2610,29,7,0.054,1.566
2747,29,7,0.054,1.566
3310,29,7,0.054,1.566
3694,29,7,0.054,1.566
4432,29,7,0.054,1.566
4439,29,7,0.054,1.566
4692,29,7,0.054,1.566
5070,29,7,0.054,1.566
5268,29,7,0.054,1.566
5520,29,7,0.054,1.566
6152,29,7,0.054,1.566
6780,29,7,0.054,1.566
7193,29,7,0.054,1.566
8227,29,7,0.054,1.566
8833,29,7,0.054,1.566
9596,29,7,0.054,1.566
426,35,8,0.0447,1.5644999999999998
1806,35,8,0.0447,1.5644999999999998
6090,35,8,0.0447,1.5644999999999998
6654,35,8,0.0447,1.5644999999999998
8122,35,8,0.0447,1.5644999999999998
8951,35,8,0.0447,1.5644999999999998
9291,35,8,0.0447,1.5644999999999998
5558,46,10,0.0338,1.5547999999999997
2508,41,9,0.0376,1.5416
6288,41,9,0.0376,1.5416
1517,45,10,0.0338,1.521
2247,45,10,0.0338,1.521
3257,45,10,0.0338,1.521
4681,45,10,0.0338,1.521
183,34,8,0.0447,1.5197999999999998
652,34,8,0.0447,1.5197999999999998
1051,34,8,0.0447,1.5197999999999998
1639,34,8,0.0447,1.5197999999999998
1791,34,8,0.0447,1.5197999999999998
1858,34,8,0.0447,1.5197999999999998
2284,34,8,0.0447,1.5197999999999998
2332,34,8,0.0447,1.5197999999999998
2751,34,8,0.0447,1.5197999999999998
2789,34,8,0.0447,1.5197999999999998
3973,34,8,0.0447,1.5197999999999998
4257,34,8,0.0447,1.5197999999999998
5044,34,8,0.0447,1.5197999999999998
5181,34,8,0.0447,1.5197999999999998
5335,34,8,0.0447,1.5197999999999998
5637,34,8,0.0447,1.5197999999999998
6631,34,8,0.0447,1.5197999999999998
8487,34,8,0.0447,1.5197999999999998
8781,34,8,0.0447,1.5197999999999998
55,28,7,0.054,1.512
73,28,7,0.054,1.512
536,28,7,0.054,1.512
1339,28,7,0.054,1.512
1666,28,7,0.054,1.512
2311,28,7,0.054,1.512
2377,28,7,0.054,1.512
2909,28,7,0.054,1.512
3363,28,7,0.054,1.512
3854,28,7,0.054,1.512
4028,28,7,0.054,1.512
4171,28,7,0.054,1.512
4443,28,7,0.054,1.512
4471,28,7,0.054,1.512
4735,28,7,0.054,1.512
4952,28,7,0.054,1.512
5705,28,7,0.054,1.512
5847,28,7,0.054,1.512
6114,28,7,0.054,1.512
6130,28,7,0.054,1.512
6579,28,7,0.054,1.512
6827,28,7,0.054,1.512
6838,28,7,0.054,1.512
6869,28,7,0.054,1.512
7081,28,7,0.054,1.512
7354,28,7,0.054,1.512
7708,28,7,0.054,1.512
7918,28,7,0.054,1.512
8107,28,7,0.054,1.512
8418,28,7,0.054,1.512
8459,28,7,0.054,1.512
8526,28,7,0.054,1.512
8545,28,7,0.054,1.512
9212,28,7,0.054,1.512
9385,28,7,0.054,1.512
636,22,6,0.0687,1.5113999999999999
792,22,6,0.0687,1.5113999999999999
905,22,6,0.0687,1.5113999999999999
936,22,6,0.0687,1.5113999999999999
1023,22,6,0.0687,1.5113999999999999
1213,22,6,0.0687,1.5113999999999999
1262,22,6,0.0687,1.5113999999999999
1670,22,6,0.0687,1.5113999999999999
2056,22,6,0.0687,1.5113999999999999
2145,22,6,0.0687,1.5113999999999999
2204,22,6,0.0687,1.5113999999999999
2339,22,6,0.0687,1.5113999999999999
2361,22,6,0.0687,1.5113999999999999
2497,22,6,0.0687,1.5113999999999999
2530,22,6,0.0687,1.5113999999999999
2829,22,6,0.0687,1.5113999999999999
2885,22,6,0.0687,1.5113999999999999
2958,22,6,0.0687,1.5113999999999999
3004,22,6,0.0687,1.5113999999999999
3123,22,6,0.0687,1.5113999999999999
3218,22,6,0.0687,1.5113999999999999
3367,22,6,0.0687,1.5113999999999999
3631,22,6,0.0687,1.5113999999999999
3752,22,6,0.0687,1.5113999999999999
3850,22,6,0.0687,1.5113999999999999
3890,22,6,0.0687,1.5113999999999999
3940,22,6,0.0687,1.5113999999999999
3963,22,6,0.0687,1.5113999999999999
3984,22,6,0.0687,1.5113999999999999
4070,22,6,0.0687,1.5113999999999999
4134,22,6,0.0687,1.5113999999999999
4152,22,6,0.0687,1.5113999999999999
4263,22,6,0.0687,1.5113999999999999
4844,22,6,0.0687,1.5113999999999999
4845,22,6,0.0687,1.5113999999999999
4931,22,6,0.0687,1.5113999999999999
5337,22,6,0.0687,1.5113999999999999
5436,22,6,0.0687,1.5113999999999999
5466,22,6,0.0687,1.5113999999999999
5933,22,6,0.0687,1.5113999999999999
6111,22,6,0.0687,1.5113999999999999
6262,22,6,0.0687,1.5113999999999999
6384,22,6,0.0687,1.5113999999999999
6476,22,6,0.0687,1.5113999999999999
6637,22,6,0.0687,1.5113999999999999
6844,22,6,0.0687,1.5113999999999999
6986,22,6,0.0687,1.5113999999999999
7129,22,6,0.0687,1.5113999999999999
7375,22,6,0.0687,1.5113999999999999
7569,22,6,0.0687,1.5113999999999999
7738,22,6,0.0687,1.5113999999999999
7828,22,6,0.0687,1.5113999999999999
8275,22,6,0.0687,1.5113999999999999
8449,22,6,0.0687,1.5113999999999999
9198,22,6,0.0687,1.5113999999999999
9219,22,6,0.0687,1.5113999999999999
9255,22,6,0.0687,1.5113999999999999
9301,22,6,0.0687,1.5113999999999999
9445,22,6,0.0687,1.5113999999999999
9922,22,6,0.0687,1.5113999999999999
1925,40,9,0.0376,1.504
2491,40,9,0.0376,1.504
3846,40,9,0.0376,1.504
5930,40,9,0.0376,1.504
6109,40,9,0.0376,1.504
105,16,4,0.0934,1.4944
318,16,4,0.0934,1.4944
330,16,4,0.0934,1.4944
607,16,4,0.0934,1.4944
675,16,4,0.0934,1.4944
922,16,4,0.0934,1.4944
1578,16,4,0.0934,1.4944
1723,16,4,0.0934,1.4944
2002,16,4,0.0934,1.4944
2349,16,4,0.0934,1.4944
2670,16,4,0.0934,1.4944
2904,16,4,0.0934,1.4944
2915,16,4,0.0934,1.4944
3327,16,4,0.0934,1.4944
3421,16,4,0.0934,1.4944
3584,16,4,0.0934,1.4944
3624,16,4,0.0934,1.4944
3691,16,4,0.0934,1.4944
3805,16,4,0.0934,1.4944
4105,16,4,0.0934,1.4944
4812,16,4,0.0934,1.4944
4954,16,4,0.0934,1.4944
5039,16,4,0.0934,1.4944
5251,16,4,0.0934,1.4944
5369,16,4,0.0934,1.4944
5433,16,4,0.0934,1.4944
5616,16,4,0.0934,1.4944
5636,16,4,0.0934,1.4944
5774,16,4,0.0934,1.4944
5815,16,4,0.0934,1.4944
6157,16,4,0.0934,1.4944
6232,16,4,0.0934,1.4944
6348,16,4,0.0934,1.4944
6399,16,4,0.0934,1.4944
6462,16,4,0.0934,1.4944
6634,16,4,0.0934,1.4944
7248,16,4,0.0934,1.4944
7933,16,4,0.0934,1.4944
8303,16,4,0.0934,1.4944
8348,16,4,0.0934,1.4944
8728,16,4,0.0934,1.4944
8990,16,4,0.0934,1.4944
9015,16,4,0.0934,1.4944
9140,16,4,0.0934,1.4944
9418,16,4,0.0934,1.4944
9450,16,4,0.0934,1.4944
9756,16,4,0.0934,1.4944
552,44,10,0.0338,1.4871999999999999
1243,44,10,0.0338,1.4871999999999999
3845,44,10,0.0338,1.4871999999999999
9947,44,10,0.0338,1.4871999999999999
252,18,5,0.0825,1.485
308,18,5,0.0825,1.485
423,18,5,0.0825,1.485
481,18,5,0.0825,1.485
735,18,5,0.0825,1.485
772,18,5,0.0825,1.485
839,18,5,0.0825,1.485
929,18,5,0.0825,1.485
1165,18,5,0.0825,1.485
1248,18,5,0.0825,1.485
1678,18,5,0.0825,1.485
1744,18,5,0.0825,1.485
1815,18,5,0.0825,1.485
1833,18,5,0.0825,1.485
2201,18,5,0.0825,1.485
2355,18,5,0.0825,1.485
2510,18,5,0.0825,1.485
2924,18,5,0.0825,1.485
2944,18,5,0.0825,1.485
2956,18,5,0.0825,1.485
2989,18,5,0.0825,1.485
3240,18,5,0.0825,1.485
3337,18,5,0.0825,1.485
3338,18,5,0.0825,1.485
3446,18,5,0.0825,1.485
3512,18,5,0.0825,1.485
3734,18,5,0.0825,1.485
3810,18,5,0.0825,1.485
4060,18,5,0.0825,1.485
4068,18,5,0.0825,1.485
4084,18,5,0.0825,1.485
4153,18,5,0.0825,1.485
4193,18,5,0.0825,1.485
4251,18,5,0.0825,1.485
4287,18,5,0.0825,1.485
4305,18,5,0.0825,1.485
4360,18,5,0.0825,1.485
4550,18,5,0.0825,1.485
4603,18,5,0.0825,1.485
4680,18,5,0.0825,1.485
4696,18,5,0.0825,1.485
5057,18,5,0.0825,1.485
5236,18,5,0.0825,1.485
5269,18,5,0.0825,1.485
5630,18,5,0.0825,1.485
5873,18,5,0.0825,1.485
6122,18,5,0.0825,1.485
6147,18,5,0.0825,1.485
6155,18,5,0.0825,1.485
6588,18,5,0.0825,1.485
6600,18,5,0.0825,1.485
6828,18,5,0.0825,1.485
6936,18,5,0.0825,1.485
6991,18,5,0.0825,1.485
7000,18,5,0.0825,1.485
8253,18,5,0.0825,1.485
8488,18,5,0.0825,1.485
8554,18,5,0.0825,1.485
8589,18,5,0.0825,1.485
8643,18,5,0.0825,1.485
8767,18,5,0.0825,1.485
8775,18,5,0.0825,1.485
8856,18,5,0.0825,1.485
8949,18,5,0.0825,1.485
9109,18,5,0.0825,1.485
9179,18,5,0.0825,1.485
9197,18,5,0.0825,1.485
9252,18,5,0.0825,1.485
9381,18,5,0.0825,1.485
9504,18,5,0.0825,1.485
9528,18,5,0.0825,1.485
9690,18,5,0.0825,1.485
9860,18,5,0.0825,1.485
9893,18,5,0.0825,1.485
433,33,8,0.0447,1.4750999999999999
1802,33,8,0.0447,1.4750999999999999
3212,33,8,0.0447,1.4750999999999999
3708,33,8,0.0447,1.4750999999999999
3897,33,8,0.0447,1.4750999999999999
3966,33,8,0.0447,1.4750999999999999
4076,33,8,0.0447,1.4750999999999999
4231,33,8,0.0447,1.4750999999999999
4336,33,8,0.0447,1.4750999999999999
4531,33,8,0.0447,1.4750999999999999
4675,33,8,0.0447,1.4750999999999999
4965,33,8,0.0447,1.4750999999999999
5102,33,8,0.0447,1.4750999999999999
5780,33,8,0.0447,1.4750999999999999
5841,33,8,0.0447,1.4750999999999999
6089,33,8,0.0447,1.4750999999999999
8495,33,8,0.0447,1.4750999999999999
9289,33,8,0.0447,1.4750999999999999
9591,33,8,0.0447,1.4750999999999999
9806,33,8,0.0447,1.4750999999999999
997,39,9,0.0376,1.4664000000000001
1945,39,9,0.0376,1.4664000000000001
2681,39,9,0.0376,1.4664000000000001
5683,39,9,0.0376,1.4664000000000001
6639,39,9,0.0376,1.4664000000000001
9613,39,9,0.0376,1.4664000000000001
9808,39,9,0.0376,1.4664000000000001
7864,50,11,0.0292,1.46
43,27,7,0.054,1.458
160,27,7,0.054,1.458
355,27,7,0.054,1.458
872,27,7,0.054,1.458
1017,27,7,0.054,1.458
1405,27,7,0.054,1.458
1425,27,7,0.054,1.458
1431,27,7,0.054,1.458
1460,27,7,0.054,1.458
1464,27,7,0.054,1.458
1877,27,7,0.054,1.458
2194,27,7,0.054,1.458
2487,27,7,0.054,1.458
2532,27,7,0.054,1.458
2560,27,7,0.054,1.458
2821,27,7,0.054,1.458
3055,27,7,0.054,1.458
3359,27,7,0.054,1.458
3517,27,7,0.054,1.458
3917,27,7,0.054,1.458
4253,27,7,0.054,1.458
4739,27,7,0.054,1.458
5346,27,7,0.054,1.458
5496,27,7,0.054,1.458
5561,27,7,0.054,1.458
5798,27,7,0.054,1.458
5852,27,7,0.054,1.458
6257,27,7,0.054,1.458
6306,27,7,0.054,1.458
6644,27,7,0.054,1.458
6741,27,7,0.054,1.458
6822,27,7,0.054,1.458
7267,27,7,0.054,1.458
7850,27,7,0.054,1.458
7860,27,7,0.054,1.458
8260,27,7,0.054,1.458
8481,27,7,0.054,1.458
8866,27,7,0.054,1.458
9526,27,7,0.054,1.458
1876,43,10,0.0338,1.4533999999999998
3451,43,10,0.0338,1.4533999999999998
